node1,node2,Layer
OMA01990,OMA00897,PPI
OMA02060,OMA00897,PPI
OMA02087,OMA00897,PPI
OMA02257,OMA00897,PPI
OMA02589,OMA00897,PPI
OMA02595,OMA00897,PPI
OMA02670,OMA00897,PPI
OMA02692,OMA00897,PPI
OMA02756,OMA00897,PPI
OMA02814,OMA00897,PPI
OMA02874,OMA00897,PPI
OMA02909,OMA00897,PPI
OMA03014,OMA00897,PPI
OMA03046,OMA00897,PPI
OMA03304,OMA00897,PPI
OMA03447,OMA00897,PPI
OMA03517,OMA00897,PPI
OMA03614,OMA00897,PPI
OMA03659,OMA00897,PPI
OMA04165,OMA00897,PPI
OMA04352,OMA00897,PPI
OMA04364,OMA00897,PPI
OMA04456,OMA00897,PPI
OMA04574,OMA00897,PPI
OMA04661,OMA00897,PPI
OMA04665,OMA00897,PPI
OMA04677,OMA00897,PPI
OMA04770,OMA00897,PPI
OMA04839,OMA00897,PPI
OMA04992,OMA00897,PPI
OMA05048,OMA00897,PPI
OMA05716,OMA00897,PPI
OMA05869,OMA00897,PPI
OMA00415,OMA00897,PPI
OMA00897,OMA00897,PPI
OMA00897,OMA01446,PPI
OMA00120,OMA00146,Metabolic
OMA02470,OMA00146,Metabolic
OMA02622,OMA00146,Metabolic
OMA04005,OMA00146,Metabolic
OMA00611,OMA00386,Regulatory
OMA00611,OMA00807,Regulatory
OMA00611,OMA01465,Regulatory
OMA02001,OMA00611,Regulatory
OMA03453,OMA00611,Regulatory
OMA04394,OMA00611,Regulatory
OMA00611,OMA00611,PPI
OMA00842,OMA02551,Regulatory
OMA02001,OMA02551,Regulatory
OMA03453,OMA02551,Regulatory
OMA04394,OMA02551,Regulatory
OMA02551,OMA02551,PPI
OMA00283,OMA01465,Metabolic
OMA00607,OMA01465,Metabolic
OMA01465,OMA01123,Metabolic
OMA01465,OMA03656,Metabolic
OMA03663,OMA01465,Metabolic
OMA00611,OMA01465,Regulatory
OMA03616,OMA01465,Regulatory
OMA04412,OMA01465,Regulatory
OMA00611,OMA00807,Regulatory
OMA03616,OMA00807,Regulatory
OMA05868,OMA00807,PPI
OMA00807,OMA00807,PPI
OMA00354,OMA00386,Metabolic
OMA00611,OMA00386,Regulatory
OMA03616,OMA00386,Regulatory
OMA02291,OMA01275,Regulatory
OMA02291,OMA02863,Regulatory
OMA01800,OMA04297,Metabolic
OMA04297,OMA04297,PPI
OMA02824,OMA00810,Regulatory
OMA02824,OMA00962,Regulatory
OMA02824,OMA01150,Regulatory
OMA02824,OMA01601,Regulatory
OMA02824,OMA02570,Regulatory
OMA02824,OMA02899,Regulatory
OMA02824,OMA00080,PPI
OMA02824,OMA04740,PPI
OMA02824,OMA04908,PPI
OMA02824,OMA05035,PPI
OMA02824,OMA05065,PPI
OMA02824,OMA05533,PPI
OMA05070,OMA02824,PPI
OMA05113,OMA02824,PPI
OMA05288,OMA02824,PPI
OMA05509,OMA02824,PPI
OMA00080,OMA02824,PPI
OMA02824,OMA00641,PPI
OMA02824,OMA02761,PPI
OMA02824,OMA02824,PPI
OMA02824,OMA03388,PPI
OMA02824,OMA04250,PPI
OMA02824,OMA04423,PPI
OMA02824,OMA04740,PPI
OMA02824,OMA04908,PPI
OMA02824,OMA05035,PPI
OMA02824,OMA05065,PPI
OMA02824,OMA05070,PPI
OMA02824,OMA05113,PPI
OMA02824,OMA05277,PPI
OMA02824,OMA05288,PPI
OMA02824,OMA05509,PPI
OMA02824,OMA05533,PPI
OMA02824,OMA02824,PPI
OMA00365,OMA00452,PPI
OMA00365,OMA00452,PPI
OMA00452,OMA00452,PPI
OMA02543,OMA02570,Metabolic
OMA02824,OMA02570,Regulatory
OMA03395,OMA02570,Regulatory
OMA02824,OMA00810,Regulatory
OMA03507,OMA00810,Regulatory
OMA02824,OMA00962,Regulatory
OMA00962,OMA00962,PPI
OMA01601,OMA01608,Metabolic
OMA01601,OMA01623,Metabolic
OMA01601,OMA05060,Metabolic
OMA02824,OMA01601,Regulatory
OMA02291,OMA02863,Regulatory
OMA02863,OMA02863,PPI
OMA02291,OMA01275,Regulatory
OMA01275,OMA01275,PPI
OMA02444,OMA03705,Metabolic
OMA02723,OMA02444,Regulatory
OMA03240,OMA02444,Regulatory
OMA03415,OMA02444,Regulatory
OMA03598,OMA02444,Regulatory
OMA03616,OMA02444,Regulatory
OMA04005,OMA00120,Metabolic
OMA04005,OMA00146,Metabolic
OMA04005,OMA02470,Metabolic
OMA04005,OMA02622,Metabolic
OMA02723,OMA04005,Regulatory
OMA03240,OMA04005,Regulatory
OMA03415,OMA04005,Regulatory
